ubigeo;departamento;provincia;distrito;poblacion;superficie;longitud;latitud
050704;Ayacucho;Víctor Fajardo;Canaria;4057;263.88;-73.9053;-13.9231
050706;Ayacucho;Víctor Fajardo;Cayara;1204;69.25;-73.9906;-13.7953
050707;Ayacucho;Víctor Fajardo;Colca;1078;69.57;-74.0342;-13.7125
050708;Ayacucho;Víctor Fajardo;Hualla;3284;162.23;-73.9536;-13.8492
050709;Ayacucho;Víctor Fajardo;Huamanquiquia;1248;67.33;-74.2731;-13.7283
050710;Ayacucho;Víctor Fajardo;Huancaraylla;1207;165.49;-74.1028;-13.7175
050713;Ayacucho;Víctor Fajardo;Sarhua;2778;373.14;-74.3208;-13.6714
050714;Ayacucho;Víctor Fajardo;Vilcanchos;2733;498.54;-74.5339;-13.6122
050715;Ayacucho;Víctor Fajardo;Asquipata;444;70.72;-73.9094;-14.0536
050801;Ayacucho;Huanca Sancos;Sancos;3632;1289.7;-74.3339;-13.9192
050802;Ayacucho;Huanca Sancos;Sacsamarca;1637;673.03;-74.315;-13.9464
050803;Ayacucho;Huanca Sancos;Santiago de Lucanamarca;2683;658.26;-74.3722;-13.8433
050804;Ayacucho;Huanca Sancos;Carapo;2543;241.34;-74.3147;-13.8375
050901;Ayacucho;Vilcas Huamán;Vilcas Huamán;8545;216.89;-73.9528;-13.6533
050902;Ayacucho;Vilcas Huamán;Vischongo;4828;268.87;-73.9983;-13.5881
050903;Ayacucho;Vilcas Huamán;Accomarca;939;82.43;-73.9033;-13.8003
050904;Ayacucho;Vilcas Huamán;Carhuanca;1018;56.91;-73.7892;-13.7425
050905;Ayacucho;Vilcas Huamán;Concepción;3193;215.03;-73.875;-13.5322
050906;Ayacucho;Vilcas Huamán;Huambalpa;2206;150.76;-73.9339;-13.7494
050907;Ayacucho;Vilcas Huamán;Saurama;1297;95.15;-73.7622;-13.695
050908;Ayacucho;Vilcas Huamán;Independencia;1583;85.28;-73.8878;-13.8581
051001;Ayacucho;Páucar del Sara Sara;Pausa;2845;242.78;-73.3433;-15.2806
051002;Ayacucho;Páucar del Sara Sara;Colta;1179;277.29;-73.2939;-15.1631
051003;Ayacucho;Páucar del Sara Sara;Corculla;445;97.05;-73.2;-15.2617
051004;Ayacucho;Páucar del Sara Sara;Lampa;2590;289.45;-73.3472;-15.1847
051005;Ayacucho;Páucar del Sara Sara;Marcabamba;786;122.53;-73.3436;-15.1492
051006;Ayacucho;Páucar del Sara Sara;Oyolo;1226;820.13;-73.1881;-15.1797
051007;Ayacucho;Páucar del Sara Sara;Pararca;669;57.91;-73.4653;-15.2169
051008;Ayacucho;Páucar del Sara Sara;San Javier de Alpabamba;551;92.87;-73.3103;-15.0539
051009;Ayacucho;Páucar del Sara Sara;San José de Ushua;179;17.33;-73.2258;-15.2242
051010;Ayacucho;Páucar del Sara Sara;Sara Sara;735;79.58;-73.4514;-15.2458
051101;Ayacucho;Sucre;Querobamba;2792;275.65;-73.8408;-14.0136
051102;Ayacucho;Sucre;Belén;772;41.46;-73.7578;-13.8094
051103;Ayacucho;Sucre;Chalcos;635;58.43;-73.7533;-13.8478
051104;Ayacucho;Sucre;San Salvador de Quije;1679;144.63;-73.7314;-13.9703
051105;Ayacucho;Sucre;Paico;837;79.65;-73.6433;-14.0386
051106;Ayacucho;Sucre;Santiago de Paucaray;724;62.65;-73.6372;-14.0444
051107;Ayacucho;Sucre;San Pedro de Larcay;1053;310.07;-73.5758;-14.1697
051108;Ayacucho;Sucre;Soras;1331;357.97;-73.6056;-14.1153
051109;Ayacucho;Sucre;Huacaña;694;132.73;-73.8864;-14.1728
051110;Ayacucho;Sucre;Chilcayoc;568;33.06;-73.7275;-13.8825
051111;Ayacucho;Sucre;Morcolla;1035;289.34;-73.8736;-14.1097
060101;Cajamarca;Cajamarca;Cajamarca;251097;382.74;-78.5153;-7.1564
060102;Cajamarca;Cajamarca;Asunción;13508;210.18;-78.5203;-7.3233
060103;Cajamarca;Cajamarca;Cospán;7882;558.79;-78.5433;-7.4264
060104;Cajamarca;Cajamarca;Chetilla;4319;73.94;-78.6714;-7.1461
060105;Cajamarca;Cajamarca;Encañada;24290;635.06;-78.3447;-7.0864
060106;Cajamarca;Cajamarca;Jesús;14742;267.78;-78.3778;-7.2456
060107;Cajamarca;Cajamarca;Los Baños del Inca;43401;276.4;-78.4633;-7.1617
060108;Cajamarca;Cajamarca;Llacanora;5404;49.42;-78.4269;-7.1928
060109;Cajamarca;Cajamarca;Magdalena;9689;215.38;-78.6564;-7.2508
060110;Cajamarca;Cajamarca;Matara;3542;59.74;-78.2636;-7.2564
060111;Cajamarca;Cajamarca;Namora;10740;180.69;-78.3247;-7.2017
060112;Cajamarca;Cajamarca;San Juan;5232;69.66;-78.4992;-7.2903
060201;Cajamarca;Cajabamba;Cajabamba;30798;192.29;-78.0472;-7.6222
060202;Cajamarca;Cajabamba;Cachachi;26990;820.81;-78.2703;-7.4494
060203;Cajamarca;Cajabamba;Condebamba;14006;204.6;-78.07;-7.5736
060205;Cajamarca;Cajabamba;Sitacocha;8910;589.94;-77.9714;-7.5211
060301;Cajamarca;Celendín;Celendín;28319;409.0;-78.1489;-6.8681
060302;Cajamarca;Celendín;Cortegana;8878;233.31;-78.3036;-6.4906
060303;Cajamarca;Celendín;Chumuch;3198;196.3;-78.2033;-6.6033
060304;Cajamarca;Celendín;Huasmín;13621;437.5;-78.2431;-6.8386
060305;Cajamarca;Celendín;Jorge Chávez;593;53.34;-78.0914;-6.9414
060306;Cajamarca;Celendín;José Gálvez;2497;58.01;-78.1328;-6.9253
060307;Cajamarca;Celendín;Miguel Iglesias;5613;235.73;-78.2381;-6.6439
060308;Cajamarca;Celendín;Oxamarca;6977;292.52;-78.0725;-7.0397
060309;Cajamarca;Celendín;Sorochuco;9881;170.02;-78.2553;-6.9103
060310;Cajamarca;Celendín;Sucre;6085;270.98;-78.1369;-6.9408
060311;Cajamarca;Celendín;Utco;1417;100.79;-78.0639;-6.8964
060312;Cajamarca;Celendín;La Libertad de Pallán;9101;184.09;-78.2908;-6.7269
060401;Cajamarca;Contumazá;Contumazá;8461;358.28;-78.8064;-7.3653
060403;Cajamarca;Contumazá;Chilete;2733;133.94;-78.8406;-7.2222
060404;Cajamarca;Contumazá;Guzmango;3146;49.88;-78.8981;-7.3842
060405;Cajamarca;Contumazá;San Benito;3845;486.55;-78.9292;-7.4247
060406;Cajamarca;Contumazá;Cupisnique;1457;280.2;-79.0297;-7.3492
060407;Cajamarca;Contumazá;Tantarica;3303;149.7;-78.9353;-7.3006
060408;Cajamarca;Contumazá;Yonán;7907;547.25;-79.13;-7.2536
060409;Cajamarca;Contumazá;Santa Cruz de Toled;1044;64.53;-78.8403;-7.3436
060501;Cajamarca;Cutervo;Cutervo;56382;422.27;-78.8206;-6.3794
060502;Cajamarca;Cutervo;Callayuc;10280;316.05;-78.9047;-6.1764
060503;Cajamarca;Cutervo;Cujillo;3040;108.93;-78.5725;-6.1072
060504;Cajamarca;Cutervo;Choros;3595;276.96;-78.6967;-5.9008
060505;Cajamarca;Cutervo;La Ramada;4862;30.27;-78.5547;-6.2172
060506;Cajamarca;Cutervo;Pimpingos;5697;186.04;-78.7575;-6.0622
060507;Cajamarca;Cutervo;Querocotillo;17001;697.1;-79.0369;-6.2747
060508;Cajamarca;Cutervo;San Andrés de Cutervo;5240;133.4;-78.7111;-6.2364
060509;Cajamarca;Cutervo;San Juan de Cutervo;1981;60.87;-78.6011;-6.1747
060510;Cajamarca;Cutervo;San Luis de Lucma;4042;109.74;-78.6056;-6.2956
060511;Cajamarca;Cutervo;Santa Cruz;2889;128.0;-78.8547;-6.0964
060512;Cajamarca;Cutervo;Santo Domingo de La Capilla;5649;103.74;-78.8578;-6.245
060513;Cajamarca;Cutervo;Santo Tomás;7931;279.61;-78.6908;-6.1544
060514;Cajamarca;Cutervo;Socota;10720;134.83;-78.7014;-6.3158
060515;Cajamarca;Cutervo;Toribio Casanova;1262;40.65;-78.6997;-6.0069
060601;Cajamarca;Chota;Chota;48903;261.75;-78.6508;-6.5631
060602;Cajamarca;Chota;Anguia;4296;123.01;-78.605;-6.3422
060603;Cajamarca;Chota;Cochabamba;6401;130.01;-78.8878;-6.4731
060604;Cajamarca;Chota;Conchán;7060;180.23;-78.6572;-6.4444
060605;Cajamarca;Chota;Chadin;4104;66.53;-78.4197;-6.4731
060606;Cajamarca;Chota;Chiguirip;4663;51.44;-78.7192;-6.4286
060607;Cajamarca;Chota;Chimbán;3684;198.99;-78.4786;-6.2567
060608;Cajamarca;Chota;Huambos;9490;240.72;-78.9639;-6.4522
060609;Cajamarca;Chota;Lajas;12505;120.73;-78.7389;-6.5617
060610;Cajamarca;Chota;Llama;8037;494.94;-79.1197;-6.5144
060611;Cajamarca;Chota;Miracosta;3924;415.69;-79.2831;-6.4053
060612;Cajamarca;Chota;Paccha;5335;93.97;-78.4211;-6.5022
060613;Cajamarca;Chota;Pion;1566;141.05;-78.4817;-6.1783
060614;Cajamarca;Chota;Querocoto;8918;301.07;-79.0356;-6.3586
060615;Cajamarca;Chota;Tacabamba;20132;196.25;-78.6125;-6.3931
060616;Cajamarca;Chota;Tocmoche;993;222.38;-79.3606;-6.4125
060617;Cajamarca;Chota;San Juan de Licupis;969;205.01;-79.2414;-6.4244
060618;Cajamarca;Chota;Choropampa;2553;171.59;-78.3503;-6.4372
060619;Cajamarca;Chota;Chalamarca;11274;179.74;-78.4689;-6.4889
060701;Cajamarca;Hualgayoc;Bambamarca;82744;451.38;-78.5242;-6.6786
060702;Cajamarca;Hualgayoc;Chugur;3601;99.6;-78.7397;-6.6711
060703;Cajamarca;Hualgayoc;Hualgayoc;16979;226.17;-78.6119;-6.7656
060801;Cajamarca;Jaén;Jaén;101726;537.25;-78.8117;-5.7106
060802;Cajamarca;Jaén;Bellavista;15310;870.55;-78.6786;-5.6664
060803;Cajamarca;Jaén;Colasay;10447;735.73;-79.0689;-5.9786
060804;Cajamarca;Jaén;Chontali;10232;428.55;-79.0878;-5.6458
060805;Cajamarca;Jaén;Pomahuaca;10190;732.8;-79.2289;-5.9322
060806;Cajamarca;Jaén;Pucará;7703;240.3;-79.1283;-6.0414
060807;Cajamarca;Jaén;Sallique;8730;373.89;-79.315;-5.6569
060808;Cajamarca;Jaén;San Felipe;6266;255.49;-79.3136;-5.7697
060809;Cajamarca;Jaén;San José del Alto;7209;634.11;-79.0539;-5.3908
060810;Cajamarca;Jaén;Santa Rosa;11363;282.8;-78.5644;-5.4358
060811;Cajamarca;Jaén;Las Pirias;4009;60.41;-78.8533;-5.6269
060812;Cajamarca;Jaén;Huabal;6956;80.69;-78.9122;-5.6133
060901;Cajamarca;Santa Cruz;Santa Cruz;12431;102.51;-78.9464;-6.6267
060902;Cajamarca;Santa Cruz;Catache;10048;609.16;-79.0325;-6.6753
060903;Cajamarca;Santa Cruz;Chancaybaños;3899;120.04;-78.8681;-6.5764
060904;Cajamarca;Santa Cruz;La Esperanza;2560;59.7;-78.895;-6.5931
060905;Cajamarca;Santa Cruz;Ninabamba;2759;60.04;-78.7894;-6.6497
060906;Cajamarca;Santa Cruz;Pulán;4438;155.67;-78.9231;-6.7397
060907;Cajamarca;Santa Cruz;Sexi;571;192.87;-79.0514;-6.5636
060908;Cajamarca;Santa Cruz;Uticyacu;1606;43.38;-78.7972;-6.6064
060909;Cajamarca;Santa Cruz;Yauyucán;3610;35.37;-78.82;-6.6783
060910;Cajamarca;Santa Cruz;Andabamba;1494;7.61;-78.8194;-6.6628
060911;Cajamarca;Santa Cruz;Saucepampa;1848;31.58;-78.9183;-6.6928
061001;Cajamarca;San Miguel;San Miguel;15894;368.26;-78.8536;-6.9997
061002;Cajamarca;San Miguel;Calquis;4425;339.0;-78.8522;-6.9797
061003;Cajamarca;San Miguel;La Florida;2157;61.33;-79.1231;-6.8683
061004;Cajamarca;San Miguel;Llapa;6086;132.68;-78.8072;-6.9786
061005;Cajamarca;San Miguel;Nanchoc;1550;358.94;-79.2419;-6.9583
061006;Cajamarca;San Miguel;Niepos;4001;158.88;-79.1283;-6.9272
061007;Cajamarca;San Miguel;San Gregorio;2263;308.05;-79.0956;-7.0575
061008;Cajamarca;San Miguel;San Silvestre de Cochán;4449;131.62;-78.775;-6.9778
061009;Cajamarca;San Miguel;El Prado;1300;71.44;-79.0111;-7.0339
061010;Cajamarca;San Miguel;Unión Agua Blanca;3577;171.71;-79.06;-7.0447
061011;Cajamarca;San Miguel;Tongod;4900;163.89;-78.8236;-6.7631
061012;Cajamarca;San Miguel;Catilluc;3495;197.31;-78.7906;-6.7994
061013;Cajamarca;San Miguel;Bolívar;1462;78.97;-79.1789;-6.9772
061101;Cajamarca;San Ignacio;San Ignacio;37862;381.88;-79.0003;-5.1403
061102;Cajamarca;San Ignacio;Chirinos;14355;351.91;-78.8983;-5.3028
061103;Cajamarca;San Ignacio;Huarango;20589;922.35;-78.7753;-5.2706
061104;Cajamarca;San Ignacio;Namballe;11717;663.51;-79.0856;-5.0089
061105;Cajamarca;San Ignacio;La Coipa;21056;376.09;-78.9044;-5.3933
061106;Cajamarca;San Ignacio;San José de Lourdes;22147;1482.75;-78.9139;-5.1025
061107;Cajamarca;San Ignacio;Tabaconas;22002;798.59;-79.2833;-5.3164
061201;Cajamarca;San Marcos;Pedro Gálvez;21549;238.74;-78.1728;-7.3361
061202;Cajamarca;San Marcos;Ichocán;1624;76.11;-78.1283;-7.3669
061203;Cajamarca;San Marcos;Gregorio Pita;6666;212.81;-78.1594;-7.2725
061204;Cajamarca;San Marcos;José Manuel Quiroz;3961;115.42;-78.0467;-7.3472
061205;Cajamarca;San Marcos;Eduardo Villanueva;2288;63.13;-78.1297;-7.4636
061206;Cajamarca;San Marcos;José Sabogal;15303;594.31;-78.0167;-7.2833
061207;Cajamarca;San Marcos;Chancay;3337;61.8;-78.1264;-7.3858
061301;Cajamarca;San Pablo;San Pablo;13586;197.92;-78.8231;-7.1181
061302;Cajamarca;San Pablo;San Bernardino;4830;167.12;-78.8311;-7.1681
061303;Cajamarca;San Pablo;San Luis;1255;42.88;-78.87;-7.1583
061304;Cajamarca;San Pablo;Tumbadén;3590;264.37;-78.7403;-7.0203
070101;Cusco;Cusco;Cusco;121667;116.22;-71.98;-13.5153
070102;Cusco;Cusco;Ccorca;2483;188.56;-72.0594;-13.5842
070103;Cusco;Cusco;Poroy;8020;14.96;-72.0425;-13.4969
070104;Cusco;Cusco;San Jerónimo;48224;103.34;-71.8872;-13.5439
070105;Cusco;Cusco;San Sebastián;118312;89.44;-71.9333;-13.5311
070106;Cusco;Cusco;Santiago;91838;69.72;-71.9842;-13.5272
070107;Cusco;Cusco;Saylla;5599;28.38;-71.8264;-13.5703
070108;Cusco;Cusco;Wanchaq;65188;6.38;-71.9656;-13.5253
070201;Cusco;Acomayo;Acomayo;5627;141.27;-71.685;-13.9189
070202;Cusco;Acomayo;Acopia;2336;91.72;-71.4931;-14.0581
070203;Cusco;Acomayo;Acos;2286;137.55;-71.7383;-13.9506
070204;Cusco;Acomayo;Pomacanchi;9092;275.56;-71.5714;-14.035
070205;Cusco;Acomayo;Rondocán;2281;180.22;-71.7822;-13.7786
070206;Cusco;Acomayo;Sangarara;3733;78.29;-71.6031;-13.9475
070207;Cusco;Acomayo;Mosoc Llacta;2321;43.61;-71.4733;-14.1203
070301;Cusco;Anta;Anta;16833;202.58;-72.1469;-13.4636
070302;Cusco;Anta;Chinchaypujio;4434;390.58;-72.2339;-13.6294
070303;Cusco;Anta;Huarocondo;5875;228.62;-72.2086;-13.4131
070304;Cusco;Anta;Limatambo;9813;512.92;-72.4458;-13.4808
070305;Cusco;Anta;Mollepata;2674;284.48;-72.5353;-13.5078
070306;Cusco;Anta;Pucyura;4242;37.75;-72.1119;-13.4803
070307;Cusco;Anta;Zurite;3714;52.33;-72.2558;-13.4556
070308;Cusco;Anta;Cachimayo;2274;43.28;-72.0728;-13.4775
070309;Cusco;Anta;Ancahuasi;7015;123.58;-72.2944;-13.4575
070401;Cusco;Calca;Calca;23824;311.01;-71.9578;-13.3231
070402;Cusco;Calca;Coya;4034;71.43;-71.9011;-13.3867
070403;Cusco;Calca;Lamay;5821;94.22;-71.9228;-13.3642
070404;Cusco;Calca;Lares;7227;527.26;-72.0472;-13.1058
070405;Cusco;Calca;Pisac;10285;148.25;-71.85;-13.4217
070406;Cusco;Calca;San Salvador;5674;128.07;-71.78;-13.4936
070407;Cusco;Calca;Taray;4745;53.78;-71.8689;-13.4278
070408;Cusco;Calca;Yanatile;13588;3080.47;-72.2322;-12.7008
070501;Cusco;Canas;Yanaoca;10178;292.97;-71.4317;-14.22
070502;Cusco;Canas;Checca;6315;503.76;-71.3964;-14.4733
070503;Cusco;Canas;Kunturkanki;5781;376.19;-71.3064;-14.5331
070504;Cusco;Canas;Langui;2567;187.1;-71.2744;-14.4317
070505;Cusco;Canas;Layo;6447;452.56;-71.1556;-14.4942
070506;Cusco;Canas;Pampamarca;2075;29.91;-71.4603;-14.1453
070507;Cusco;Canas;Quehue;3578;143.46;-71.455;-14.38
070508;Cusco;Canas;Túpac Amaru;2961;117.81;-71.4794;-14.165
070601;Cusco;Canchis;Sicuani;60903;645.88;-71.2289;-14.2711
070602;Cusco;Canchis;Combapata;5432;182.5;-71.4308;-14.1008
070603;Cusco;Canchis;Checacupe;4984;962.34;-71.4533;-14.0267
070604;Cusco;Canchis;Marangani;11287;432.65;-71.1683;-14.3564
070605;Cusco;Canchis;Pitumarca;7616;1117.54;-71.4147;-13.9778
070606;Cusco;Canchis;San Pablo;4557;524.06;-71.3178;-14.2033
070607;Cusco;Canchis;San Pedro;2773;54.91;-71.3422;-14.1867
070608;Cusco;Canchis;Tinta;5642;79.39;-71.4067;-14.1447
070701;Cusco;Chumbivilcas;Santo Tomás;26992;1924.08;-72.0833;-14.4503
070702;Cusco;Chumbivilcas;Capacmarca;4620;271.81;-72.0008;-14.0078
070703;Cusco;Chumbivilcas;Colquemarca;8630;449.49;-72.0411;-14.2839
070704;Cusco;Chumbivilcas;Chamaca;8971;674.19;-71.855;-14.3028
070705;Cusco;Chumbivilcas;Livitaca;13526;758.2;-71.6892;-14.3131
070706;Cusco;Chumbivilcas;Llusco;7173;315.42;-72.1144;-14.3383
070707;Cusco;Chumbivilcas;Quiñota;4990;221.05;-72.1389;-14.3114
070708;Cusco;Chumbivilcas;Velille;8580;756.84;-71.8864;-14.5106
070801;Cusco;Espinar;Espinar;33970;747.78;-71.4133;-14.7931
070802;Cusco;Espinar;Condoroma;1431;513.36;-71.1319;-15.3075
070803;Cusco;Espinar;Coporaque;18004;1564.46;-71.5311;-14.7972
070804;Cusco;Espinar;Ocoruro;1588;353.15;-71.1292;-15.0522
070805;Cusco;Espinar;Pallpata;5593;815.56;-71.2103;-14.8894
070806;Cusco;Espinar;Pichigua;3629;288.76;-71.41;-14.6786
070807;Cusco;Espinar;Suyckutambo;2781;652.13;-71.6397;-15.0025
070808;Cusco;Espinar;Alto Pichigua;3171;375.89;-71.2542;-14.7789
070901;Cusco;La Convención;Santa Ana;35206;359.4;-72.6936;-12.865
070902;Cusco;La Convención;Echarate;37130;19135.5;-72.5936;-12.7675
070903;Cusco;La Convención;Huayopata;4539;524.02;-72.5569;-13.0075
070904;Cusco;La Convención;Maranura;5949;150.3;-72.6653;-12.9619
070905;Cusco;La Convención;Ocobamba;6852;840.93;-72.4489;-12.8706
070906;Cusco;La Convención;Santa Teresa;6418;1340.38;-72.5986;-13.1297
070907;Cusco;La Convención;Vilcabamba;13869;3318.86;-72.9436;-13.0514
070908;Cusco;La Convención;Quellouno;18320;799.68;-72.5517;-12.6325
070909;Cusco;La Convención;Kimbiri;14893;905.69;-73.7811;-12.6097
070910;Cusco;La Convención;Pichari;20538;730.45;-73.8269;-12.5158
071001;Cusco;Paruro;Paruro;3400;153.42;-71.8478;-13.7617
071002;Cusco;Paruro;Accha;3839;244.75;-71.8322;-13.9681
071003;Cusco;Paruro;Ccapi;3749;334.85;-72.0803;-13.8533
071004;Cusco;Paruro;Colcha;1189;139.98;-71.8028;-13.8511
071005;Cusco;Paruro;Huanoquite;5700;362.67;-72.0147;-13.6828
071006;Cusco;Paruro;Omacha;7205;436.21;-71.7386;-14.0706
071007;Cusco;Paruro;Yaurisque;2522;90.8;-71.9214;-13.6639
071008;Cusco;Paruro;Paccaritambo;2076;142.61;-71.9564;-13.7558
071009;Cusco;Paruro;Pillpinto;1254;79.13;-71.7619;-13.9531
071101;Cusco;Paucartambo;Paucartambo;13491;1079.23;-71.5997;-13.3189
071102;Cusco;Paucartambo;Caicay;2768;110.72;-71.6961;-13.5969
071103;Cusco;Paucartambo;Colquepata;10767;467.68;-71.6731;-13.3594
071104;Cusco;Paucartambo;Challabamba;11389;746.56;-71.6531;-13.2114
071105;Cusco;Paucartambo;Kosñipata;5692;3745.68;-71.4225;-13.0025
071106;Cusco;Paucartambo;Huancarani;7774;145.14;-71.6539;-13.5033
071201;Cusco;Quispicanchi;Urcos;9412;134.65;-71.6258;-13.6883
071202;Cusco;Quispicanchi;Andahuaylillas;5558;84.6;-71.6767;-13.6733
071203;Cusco;Quispicanchi;Camanti;2094;3174.93;-70.7478;-13.1936
071204;Cusco;Quispicanchi;Ccarhuayo;3173;313.89;-71.3994;-13.5947
071205;Cusco;Quispicanchi;Ccatca;18128;307.72;-71.5619;-13.6053
071206;Cusco;Quispicanchi;Cusipata;4795;248.03;-71.5;-13.9083
071207;Cusco;Quispicanchi;Huaro;4508;106.28;-71.6406;-13.6903
071208;Cusco;Quispicanchi;Lucre;4051;118.78;-71.7378;-13.6356
071209;Cusco;Quispicanchi;Marcapata;4533;1687.91;-70.9458;-13.515
071210;Cusco;Quispicanchi;Ocongate;15889;952.66;-71.3864;-13.6286
071211;Cusco;Quispicanchi;Oropesa;7428;74.44;-71.7642;-13.5958
071212;Cusco;Quispicanchi;Quiquijana;11100;360.9;-71.5317;-13.8222
071301;Cusco;Urubamba;Urubamba;21424;128.28;-72.1161;-13.3061
071302;Cusco;Urubamba;Chinchero;9896;94.57;-72.0472;-13.3933
071303;Cusco;Urubamba;Huayllabamba;5332;102.47;-72.0644;-13.3386
071304;Cusco;Urubamba;Machupicchu;8471;271.44;-72.5242;-13.1533
071305;Cusco;Urubamba;Maras;5900;131.85;-72.1572;-13.3367
071306;Cusco;Urubamba;Ollantaytambo;11347;640.25;-72.2631;-13.2581
071307;Cusco;Urubamba;Yucay;3390;70.57;-72.0861;-13.3194
080101;Huancavelica;Huancavelica;Huancavelica;41284;514.1;-74.9756;-12.7869
080102;Huancavelica;Huancavelica;Acobambilla;4730;758.32;-75.3239;-12.6675
080103;Huancavelica;Huancavelica;Acoria;37509;535.1;-74.8664;-12.6433
080104;Huancavelica;Huancavelica;Conayca;1212;37.79;-75.0078;-12.5194
080105;Huancavelica;Huancavelica;Cuenca;1942;50.25;-75.0394;-12.4344
080106;Huancavelica;Huancavelica;Huachocolpa;2886;336.28;-74.9497;-13.0319
080108;Huancavelica;Huancavelica;Huayllahuara;724;38.8;-75.1797;-12.4072
080109;Huancavelica;Huancavelica;Izcuchaca;868;12.19;-74.9961;-12.5011
080110;Huancavelica;Huancavelica;Laria;1453;78.45;-75.0372;-12.5611
080111;Huancavelica;Huancavelica;Manta;1876;154.14;-75.2122;-12.6217
080112;Huancavelica;Huancavelica;Mariscal Cáceres;1058;5.63;-74.9336;-12.5356
080113;Huancavelica;Huancavelica;Moya;2539;94.08;-75.1539;-12.4231
080114;Huancavelica;Huancavelica;Nuevo Occoro;2728;211.56;-75.02;-12.595
080115;Huancavelica;Huancavelica;Palca;3214;82.08;-74.9833;-12.6589
080116;Huancavelica;Huancavelica;Pilchaca;487;42.97;-75.0839;-12.4019
080117;Huancavelica;Huancavelica;Vilca;3060;317.76;-75.1867;-12.4786
080118;Huancavelica;Huancavelica;Yauli;34557;319.92;-74.8506;-12.7731
080119;Huancavelica;Huancavelica;Ascensión;12711;432.24;-74.9806;-12.7842
080120;Huancavelica;Huancavelica;Huando;7695;193.9;-74.9469;-12.5653
080201;Huancavelica;Acobamba;Acobamba;10258;123.02;-74.5692;-12.8406
080202;Huancavelica;Acobamba;Anta;9711;91.36;-74.6364;-12.8139
080203;Huancavelica;Acobamba;Andabamba;5758;81.85;-74.6242;-12.6953
080204;Huancavelica;Acobamba;Caja;2837;82.39;-74.465;-12.9183
080205;Huancavelica;Acobamba;Marcas;2402;155.87;-74.3994;-12.8894
080206;Huancavelica;Acobamba;Paucara;38507;225.6;-74.6694;-12.7303
080207;Huancavelica;Acobamba;Pomacocha;3941;53.66;-74.5306;-12.8733
080208;Huancavelica;Acobamba;Rosario;7985;97.07;-74.5811;-12.7214
080301;Huancavelica;Angaraes;Lircay;25333;818.84;-74.7203;-12.9842
080302;Huancavelica;Angaraes;Anchonga;8216;72.4;-74.6922;-12.9122
080303;Huancavelica;Angaraes;Callanmarca;757;26.02;-74.6228;-12.8678
080304;Huancavelica;Angaraes;Congalla;4165;215.64;-74.4928;-12.9564
080305;Huancavelica;Angaraes;Chincho;3578;182.7;-74.3689;-12.9783
080306;Huancavelica;Angaraes;Huayllay Grande;2240;33.28;-74.7011;-12.9417
080307;Huancavelica;Angaraes;Huanca-Huanca;1773;109.96;-74.6106;-12.9172
080308;Huancavelica;Angaraes;Julcamarca;1801;48.61;-74.4453;-13.015
080309;Huancavelica;Angaraes;San Antonio de Antaparco;7834;33.42;-74.4119;-13.0775
080310;Huancavelica;Angaraes;Santo Tomás de Pata;2735;133.57;-74.4233;-13.1136
080311;Huancavelica;Angaraes;Secclla;3885;167.99;-74.4833;-13.0533
080312;Huancavelica;Angaraes;Ccochaccasa;2665;116.6;-74.7697;-12.9311
080401;Huancavelica;Castrovirreyna;Castrovirreyna;3265;937.94;-75.3175;-13.2825
080402;Huancavelica;Castrovirreyna;Arma;1439;304.85;-75.5419;-13.1256
080403;Huancavelica;Castrovirreyna;Aurahua;2275;360.97;-75.5708;-13.035
080405;Huancavelica;Castrovirreyna;Capillas;1452;397.95;-75.5425;-13.2931
080406;Huancavelica;Castrovirreyna;Cocas;916;87.95;-75.3733;-13.2758
080408;Huancavelica;Castrovirreyna;Chupamarca;1233;373.78;-75.6097;-13.0383
080409;Huancavelica;Castrovirreyna;Huachos;1676;172.01;-75.5328;-13.22
080410;Huancavelica;Castrovirreyna;Huamatambo;379;54.16;-75.6806;-13.0961
080414;Huancavelica;Castrovirreyna;Mollepampa;1695;165.65;-75.4092;-13.31
080422;Huancavelica;Castrovirreyna;San Juan;440;207.25;-75.6342;-13.2039
080427;Huancavelica;Castrovirreyna;Tantara;717;113.01;-75.6475;-13.0756
080428;Huancavelica;Castrovirreyna;Ticrapo;1598;187.0;-75.4319;-13.3844
080429;Huancavelica;Castrovirreyna;Santa Ana;2195;622.1;-75.1403;-13.0719
080501;Huancavelica;Tayacaja;Pampas;9335;109.07;-74.8672;-12.3956
080502;Huancavelica;Tayacaja;Acostambo;4110;168.06;-75.0572;-12.3653
080503;Huancavelica;Tayacaja;Acraquia;5014;110.27;-74.9031;-12.4097
080504;Huancavelica;Tayacaja;Ahuaycha;5619;90.96;-74.8919;-12.4081
080506;Huancavelica;Tayacaja;Colcabamba;12376;312.18;-74.6814;-12.4114
080509;Huancavelica;Tayacaja;Daniel Hernández;10381;106.92;-74.8625;-12.3936
080511;Huancavelica;Tayacaja;Huachocolpa;6534;292.0;-74.5953;-12.0486
080512;Huancavelica;Tayacaja;Huaribamba;4472;150.69;-74.9406;-12.2794
080515;Huancavelica;Tayacaja;Ñahuimpuquio;1876;67.39;-75.0708;-12.3322
080517;Huancavelica;Tayacaja;Pazos;7281;227.86;-75.07;-12.2589
080518;Huancavelica;Tayacaja;Quishuar;904;31.54;-74.7792;-12.2408
