Ubigeo e Identificador MCP;Departamento;Provincia, Distrito y Municipalidad de Centro Poblado;Región natural (según piso altitudinal);Nombre del Alcalde;Dirección;Viviendas particulares;Teléfonos;Correo Electrónico;Directorio de Municipalidad de Centro Poblado;;;;;;
1304;13.3 departamento la libertad: dispositivo legal de la municipalidad provincial que crea a la municipalidad de centro poblado conforme a la ley n° 27972, ley organica de municipalidades y directorio de municipalidad de centro poblado, 2025;Chepén;;;;;;;;;;;;;
1305;13.3 departamento la libertad: dispositivo legal de la municipalidad provincial que crea a la municipalidad de centro poblado conforme a la ley n° 27972, ley organica de municipalidades y directorio de municipalidad de centro poblado, 2025;Julcán;;;;;;;;;;;;;
1306;13.3 departamento la libertad: dispositivo legal de la municipalidad provincial que crea a la municipalidad de centro poblado conforme a la ley n° 27972, ley organica de municipalidades y directorio de municipalidad de centro poblado, 2025;Otuzco;;;;;;;;;;;;;
1307;13.3 departamento la libertad: dispositivo legal de la municipalidad provincial que crea a la municipalidad de centro poblado conforme a la ley n° 27972, ley organica de municipalidades y directorio de municipalidad de centro poblado, 2025;Pacasmayo;;;;;;;;;;;;;
1308;13.3 departamento la libertad: dispositivo legal de la municipalidad provincial que crea a la municipalidad de centro poblado conforme a la ley n° 27972, ley organica de municipalidades y directorio de municipalidad de centro poblado, 2025;Pataz;;;;;;;;;;;;;
1309;13.3 departamento la libertad: dispositivo legal de la municipalidad provincial que crea a la municipalidad de centro poblado conforme a la ley n° 27972, ley organica de municipalidades y directorio de municipalidad de centro poblado, 2025;Sánchez Carrión;;;;;;;;;;;;;
1310;13.3 departamento la libertad: dispositivo legal de la municipalidad provincial que crea a la municipalidad de centro poblado conforme a la ley n° 27972, ley organica de municipalidades y directorio de municipalidad de centro poblado, 2025;Santiago de Chuco;;;;;;;;;;;;;
1311;13.3 departamento la libertad: dispositivo legal de la municipalidad provincial que crea a la municipalidad de centro poblado conforme a la ley n° 27972, ley organica de municipalidades y directorio de municipalidad de centro poblado, 2025;Gran Chimú;;;;;;;;;;;;;
1312;13.3 departamento la libertad: dispositivo legal de la municipalidad provincial que crea a la municipalidad de centro poblado conforme a la ley n° 27972, ley organica de municipalidades y directorio de municipalidad de centro poblado, 2025;Virú;;;;;;;;;;;;;
1402;14.3 departamento lambayeque: dispositivo legal de la municipalidad provincial que crea a la municipalidad de centro poblado conforme a la ley n° 27972, ley organica de municipalidades y directorio de municipalidad de centro poblado, 2025;Ferreñafe;;;;;;;;;;;;;
1403;14.3 departamento lambayeque: dispositivo legal de la municipalidad provincial que crea a la municipalidad de centro poblado conforme a la ley n° 27972, ley organica de municipalidades y directorio de municipalidad de centro poblado, 2025;Lambayeque;;;;;;;;;;;;;
1503;15b.3 lima: dispositivo legal de la municipalidad provincial que crea a la municipalidad de centro poblado conforme a la ley n° 27972, ley organica de municipalidades y directorio de municipalidad de centro poblado, 2025;Cajatambo;;;;;;;;;;;;;
1505;15b.3 lima: dispositivo legal de la municipalidad provincial que crea a la municipalidad de centro poblado conforme a la ley n° 27972, ley organica de municipalidades y directorio de municipalidad de centro poblado, 2025;Cañete;;;;;;;;;;;;;
1507;15b.3 lima: dispositivo legal de la municipalidad provincial que crea a la municipalidad de centro poblado conforme a la ley n° 27972, ley organica de municipalidades y directorio de municipalidad de centro poblado, 2025;Huarochirí;;;;;;;;;;;;;
1508;15b.3 lima: dispositivo legal de la municipalidad provincial que crea a la municipalidad de centro poblado conforme a la ley n° 27972, ley organica de municipalidades y directorio de municipalidad de centro poblado, 2025;Huaura;;;;;;;;;;;;;
1509;15b.3 lima: dispositivo legal de la municipalidad provincial que crea a la municipalidad de centro poblado conforme a la ley n° 27972, ley organica de municipalidades y directorio de municipalidad de centro poblado, 2025;Oyón;;;;;;;;;;;;;
